name,address,Latitude,Longitude,area,people
양원,"경기 남양주시 진접읍 경복대로샘말길 35-2",37.7155,127.21,16104,196
한미,"경기 양주시 삼숭로129번길 11, (삼숭동)",37.8032,127.099,18795,256
강북삼성,"경기 양주시 백석읍 꿈나무로 93",37.7986,126.995,6790,96
우리,"경기 가평군 가평읍 태봉두밀로 34-71, (우리자동차학원)",37.8047,127.487,10036,112
명문,"경기 고양시 일산서구 탄중로275번길 52-35, (탄현동)",37.695,126.776,12346,272
엘씨,"경기 파주시 문산읍 우계로457번길 21, (LC자동차운전전문학원)",37.858,126.792,10037,56
신일,"경기 고양시 일산동구 성현로268번길 93, (성석동)",37.7016,126.814,9829,150
올리브,"경기 파주시 탄현면 장릉로 5-23, (올리브운전전문학원)",37.7726,126.717,14212,280
뉴대성,"경기도 고양시 일산동구 장대길 160-38, (장항동)",37.6431,126.762,9900,196
뉴강남,"경기도 가평군 설악면 신천중앙로28번길 3-132",37.6674,127.494,9563,56
한수,"경기도 파주시 교하로 507, (동패동, (주)한주자동차운전전문학원)",37.7257,126.697,9006,126
신원,"경기 고양시 일산서구 덕산로 167, (가좌동)",37.6945,126.72,13394,140
하예서부,"경기 파주시 파주읍 학당말길 141, (하예서부자동차운전전문학원)",37.839,126.82,7066,112
정다운파주,"경기 파주시 월롱면 정문로293번길 93",37.7878,126.812,15199,304
자유로,"경기 파주시 범벅골길 60-6, (다율동, 자유로자동차운전전문학원)",37.7443,126.738,18241,396
행운,"경기 포천시 신북면 중앙로 332-34",37.9151,127.215,9698,176
신진,"경기도 파주시 월롱면 정문로293번길 95",37.7896,126.812,9965,350
연천,"경기 연천군 연천읍 통현길 100",38.0622,127.083,10738,64
북부중앙,"경기 양주시 화합로 1221, (회정동)",37.8333,127.053,11057,160
시티,"경기 의정부시 신흥로 41, (호원동, 시티자동차운전확원)",37.7193,127.044,19970,56
대진,"경기 포천시 군내면 포천로909번길 31",37.8519,127.194,13514,112
NEW강동,"경기 남양주시 진접읍 진건오남로 1048",37.7123,127.184,7333,208
그린,"경기 포천시 소흘 223-38",37.8311,127.149,11635,364
신제일,"경기 포천시 영북면 문암길 20-1",38.0801,127.273,9746,84
스피드(일반),"경기 양주시 청담로 42번길 63-15",37.8048,127.074,3907,42
원주,"강원 원주시 학마을길 60, (관설동)",37.3004,127.98,11032,60
